settle (locks6a_3714_settle)
  aurora_meter_credit_allocations AccessShareLock granted=true
  aurora_meter_credit_allocations RowExclusiveLock granted=true
  aurora_meter_credit_allocations_lot_seq_index AccessShareLock granted=true
  aurora_meter_credit_allocations_pkey AccessShareLock granted=true
  aurora_meter_credit_allocations_seq_index AccessShareLock granted=true
  aurora_meter_credit_allocations_seq_seq RowExclusiveLock granted=true
  aurora_meter_credit_allocations_tenant_seq_index AccessShareLock granted=true
  aurora_meter_credit_allocations_transaction_id_index AccessShareLock granted=true
  aurora_meter_credit_balances RowExclusiveLock granted=true
  aurora_meter_credit_balances RowShareLock granted=true
  aurora_meter_credit_balances_pkey RowExclusiveLock granted=true
  aurora_meter_credit_balances_pkey RowShareLock granted=true
  aurora_meter_credit_balances_tenant_key_index RowExclusiveLock granted=true
  aurora_meter_credit_balances_tenant_key_index RowShareLock granted=true
  aurora_meter_credit_lots AccessShareLock granted=true
  aurora_meter_credit_lots RowExclusiveLock granted=true
  aurora_meter_credit_lots RowShareLock granted=true
  aurora_meter_credit_lots_expiry_index AccessShareLock granted=true
  aurora_meter_credit_lots_expiry_index RowExclusiveLock granted=true
  aurora_meter_credit_lots_expiry_index RowShareLock granted=true
  aurora_meter_credit_lots_grant_index AccessShareLock granted=true
  aurora_meter_credit_lots_grant_index RowExclusiveLock granted=true
  aurora_meter_credit_lots_grant_index RowShareLock granted=true
  aurora_meter_credit_lots_pkey AccessShareLock granted=true
  aurora_meter_credit_lots_pkey RowExclusiveLock granted=true
  aurora_meter_credit_lots_pkey RowShareLock granted=true
  aurora_meter_credit_lots_seq_index AccessShareLock granted=true
  aurora_meter_credit_lots_seq_index RowExclusiveLock granted=true
  aurora_meter_credit_lots_seq_index RowShareLock granted=true
  aurora_meter_credit_lots_source_intent_index AccessShareLock granted=true
  aurora_meter_credit_lots_source_intent_index RowExclusiveLock granted=true
  aurora_meter_credit_lots_source_intent_index RowShareLock granted=true
  aurora_meter_credit_lots_spend_index AccessShareLock granted=true
  aurora_meter_credit_lots_spend_index RowExclusiveLock granted=true
  aurora_meter_credit_lots_spend_index RowShareLock granted=true
  aurora_meter_credit_transactions AccessShareLock granted=true
  aurora_meter_credit_transactions RowExclusiveLock granted=true
  aurora_meter_credit_transactions RowShareLock granted=true
  aurora_meter_credit_transactions_hold_index AccessShareLock granted=true
  aurora_meter_credit_transactions_hold_index RowExclusiveLock granted=true
  aurora_meter_credit_transactions_hold_index RowShareLock granted=true
  aurora_meter_credit_transactions_kind_reference_index AccessShareLock granted=true
  aurora_meter_credit_transactions_kind_reference_index RowExclusiveLock granted=true
